""	"L617_KO1"	"L618_KO2"	"L619_KO3"	"L620_WT1"	"L621_WT2"	"L622_WT3"	"gene_name"
"ENSMUSG00000083382"	0.87857860030018	0	0	0.609776369701221	0	0	"Gm6433"
"ENSMUSG00000083390"	1.75715720060036	1.18293713822124	2.87129183244151	0.609776369701221	0	1.28284538596516	"Gm13121"
"ENSMUSG00000083391"	1.75715720060036	1.18293713822124	2.87129183244151	1.82932910910366	2.52437479494742	1.28284538596516	"Gm14148"
"ENSMUSG00000083392"	0.87857860030018	0	0	0	1.26218739747371	0	"Gm6335"
"ENSMUSG00000083394"	0	0	1.91419455496101	0	0	0	"Gm12618"
"ENSMUSG00000083396"	134.422525845927	87.5373482283714	111.023284187738	99.3935482612989	84.5665556307386	156.507137087749	"Gm15542"
"ENSMUSG00000083397"	0.87857860030018	1.18293713822124	1.91419455496101	3.65865821820732	5.04874958989484	2.56569077193031	"Gm5466"
"ENSMUSG00000083399"	0.87857860030018	1.18293713822124	0	2.43910547880488	1.26218739747371	1.28284538596516	"Gm15033"
"ENSMUSG00000083405"	759.091910659355	679.005917338989	619.241938529885	795.148386090392	711.873692175173	624.745702965031	"Gm15725"
"ENSMUSG00000083407"	0	0	0	0.609776369701221	0	0	"Gm13176"
"ENSMUSG00000083411"	0.87857860030018	0	0	0	0	1.28284538596516	"Rpl30-ps10"
"ENSMUSG00000083429"	0	3.54881141466371	0.957097277480503	0	1.26218739747371	2.56569077193031	"Gm15198"
"ENSMUSG00000083434"	0	0	0	1.21955273940244	0	0	"Gm12760"
"ENSMUSG00000083438"	5.27147160180108	1.18293713822124	7.65677821984402	5.48798732731098	3.78656219242113	10.2627630877212	"Gm5402"
"ENSMUSG00000083439"	0.87857860030018	0	0	0	0	0	"Gm14491"
"ENSMUSG00000083443"	40.4146156138083	47.3174855288494	54.5545448163886	42.0745695093842	49.2253085014747	47.4652792807108	"Gm15519"
"ENSMUSG00000083449"	3.51431440120072	2.36587427644247	3.82838910992201	4.26843458790854	6.31093698736855	1.28284538596516	"Gm13487"
"ENSMUSG00000083453"	0	1.18293713822124	0	0	0	0	"Gm13338"
"ENSMUSG00000083454"	0	2.36587427644247	0	0.609776369701221	2.52437479494742	0	"Gm13226"
"ENSMUSG00000083458"	30.7502510105063	31.9393027319734	32.5413074343371	35.976805812372	32.8168723343165	43.6167431228153	"Gm5510"
"ENSMUSG00000083460"	1.75715720060036	0	0.957097277480503	0.609776369701221	0	2.56569077193031	"Gm12182"
"ENSMUSG00000083462"	3.51431440120072	4.73174855288494	2.87129183244151	4.26843458790854	1.26218739747371	1.28284538596516	"Gm12501"
"ENSMUSG00000083465"	23.7216222081049	15.3781827968761	19.14194554961	21.9519493092439	17.6706235646319	14.1112992456167	"Gm11652"
"ENSMUSG00000083468"	0.87857860030018	2.36587427644247	0.957097277480503	2.43910547880488	3.78656219242113	2.56569077193031	"Gm9431"
"ENSMUSG00000083470"	0	0	0	0.609776369701221	0	0	"Gm7966"
"ENSMUSG00000083471"	0	0	0	0.609776369701221	0	0	"Gm12118"
